	z_coordinate_0	z_coordinate_1
169	0.7762427	-2.774993
170	-8.874734	3.9748049
171	4.34175	3.031054
172	0.57465404	-2.9520323
173	0.67118734	-3.1246781
174	-1.2788303	-1.4538295
175	-1.9168289	-2.6278903
176	-9.300019	-6.176402
177	0.62371445	-5.0376816
178	-10.816005	-6.825941
179	3.263826	10.997911
180	-7.321491	-8.0854025
181	-9.093797	-6.4680166
182	-9.185056	-6.64933
183	4.722171	3.0515985
184	0.027882785	-3.038129
185	13.494771	3.3488479
186	-2.8413455	2.7727318
187	1.7642298	-3.8048868
188	-5.36552	9.927778
189	-4.460834	10.931993
190	-7.417294	0.7639027
191	-2.8637383	2.8547738
192	4.309139	2.8242404
193	-8.810899	4.2034187
194	1.1031117	0.611978
195	-7.0701456	0.9993256
196	0.5135621	-2.8920135
197	1.8965008	6.427147
198	-0.6164569	-2.3522651
199	-5.2084804	9.987229
200	-1.2184615	-1.7065549
201	-0.6478029	5.0568266
202	2.2586606	-4.240722
203	4.2413983	2.788938
204	-8.665254	4.4356823
205	-8.840428	2.788913
206	3.3359659	-5.471204
207	-4.7739143	10.164215
208	-7.995128	-4.428881
209	-9.422436	3.936147
210	-3.6487966	13.083173
211	4.2934666	2.8834112
212	-9.171233	3.7086864
213	-0.40289766	5.098939
214	-1.3437929	4.1408567
215	16.826555	-15.314113
216	4.2570434	2.948202
217	14.096274	-10.493329
218	-0.91330117	-2.2162123
219	8.027562	0.7365154
220	-7.252875	0.97740346
221	2.2234287	1.3366435
222	0.6532551	-2.2180872
223	0.7865353	-2.2853017
224	3.9498298	2.8538525
225	-0.5990349	-1.4553893
226	-9.631671	-7.0361233
227	-0.23160154	-2.5501378
228	-0.6967858	5.310741
229	-0.43176562	-1.7537217
230	5.3	-1.8516622
231	-0.13741577	-2.406611
232	-0.59198827	-2.7322226
233	4.295582	2.7694688
234	-9.873305	-6.1980276
235	-5.5702386	9.451698
236	0.45250562	-2.4039578
237	-0.1251966	-2.1939783
