	log_likelihood
1426	263.91394
1427	302.35913
1428	282.2335
1429	262.49628
1430	242.33261
1431	304.56268
1432	120.67179
1433	283.6662
1434	216.52963
1435	237.74893
1436	314.29315
1437	290.97455
1438	197.72525
1439	173.66164
1440	305.92755
1441	239.77383
1442	312.89984
1443	250.11679
1444	306.22192
1445	192.5337
1446	291.96796
1447	278.20694
1448	182.81363
1449	281.61224
1450	305.95813
1451	230.37007
1452	297.3109
1453	313.04196
1454	237.83936
1455	241.12895
1456	158.53838
1457	284.98755
1458	256.63327
1459	322.747
1460	328.315
1461	282.3995
1462	292.14294
1463	212.69797
1464	286.60254
1465	271.11163
1466	305.05566
1467	129.21397
1468	281.65768
1469	240.95761
1470	283.058
1471	304.2793
1472	314.03436
1473	314.63287
1474	216.85025
1475	286.2041
1476	307.03085
1477	244.84673
1478	283.1021
1479	211.95
1480	310.74716
1481	292.46063
1482	152.11026
1483	147.60806
1484	267.24673
1485	286.9726
1486	297.5853
1487	316.68112
1488	289.20108
1489	264.52032
1490	302.50546
1491	287.997
1492	283.61368
1493	294.50436
1494	235.27124
1495	220.88162
1496	218.11227
1497	274.2968
1498	263.05615
1499	304.23462
1500	235.5763
1501	299.4107
1502	274.33047
1503	300.70807
1504	292.82416
1505	334.40036
1506	319.32812
1507	321.71582
1508	310.22592
1509	270.46277
1510	322.84247
1511	267.84448
1512	262.46338
1513	220.85507
1514	317.08902
1515	231.29489
1516	294.5047
1517	306.6347
1518	306.83615
1519	292.4068
1520	293.4145
1521	322.5784
1522	294.4402
1523	309.97418
1524	261.90317
1525	317.42734
1526	201.69897
1527	167.06204
1528	310.39383
1529	271.40112
1530	271.92203
1531	249.4451
1532	261.8332
1533	242.84526
1534	302.62866
1535	279.83038
1536	264.09146
1537	281.424
1538	293.5282
1539	267.29437
1540	329.79733
1541	277.3585
1542	288.4436
1543	305.1098
1544	145.70378
1545	263.6542
1546	260.88705
1547	222.05396
1548	228.43509
1549	301.50854
1550	328.66876
1551	308.1828
1552	320.23193
1553	312.41486
1554	319.1677
1555	280.27155
1556	266.857
1557	324.20316
1558	294.2936
1559	227.9867
1560	310.18976
1561	314.22855
1562	280.69586
1563	254.00285
