	z_coordinate_0	z_coordinate_1
114	2.8810542	7.2237835
115	-6.123518	2.8895743
116	0.7033199	6.100072
117	-3.6956425	4.095184
118	0.87073493	1.603029
119	-4.126467	2.4960296
120	-2.4873307	0.11335239
121	1.2433718	2.0265787
122	-10.404924	-0.558606
123	-0.5656378	0.4728092
124	-1.955176	2.6686373
125	-5.3320813	4.2481685
126	2.4438555	6.499877
127	0.5770249	2.2222142
128	-0.91436034	3.891384
129	-4.156096	3.1794627
130	0.038788036	3.4929514
131	-2.0220768	6.4279327
132	3.6470747	7.622166
133	-7.9550724	1.2233036
134	-7.273909	1.7855961
135	1.9732684	6.190282
136	-5.579495	-0.35741547
137	-1.4900578	4.066081
138	1.0460548	5.401267
139	-6.2209926	-1.4355582
140	-1.754212	-0.012917191
141	0.5230811	3.2687461
142	2.1235094	6.205628
143	-5.1881394	-0.6639106
144	-1.9789647	1.9990487
145	2.4812427	5.883636
146	-7.1106615	2.4090245
147	-0.6252649	3.6672096
148	-3.0815506	3.7404878
149	-0.7902898	2.2974176
150	0.6177386	5.920969
151	2.9954233	6.5618925
152	-5.1985726	-0.48806837
153	-2.7277355	2.9395878
154	-3.2057462	1.7168189
155	-7.629361	0.6919063
156	-4.367722	3.7075546
157	1.7808682	5.8123302
158	-0.9279986	4.84267
159	-6.381045	-1.1271374
160	-1.5556318	1.2564105
161	-5.713571	0.8795817
162	3.163756	5.568964
163	-0.036332935	1.6174004
164	-5.090631	3.5688293
165	2.0032759	3.8290465
166	-0.57523245	2.8089128
167	-3.4054885	3.9230342
168	-1.4695396	2.6394572
169	-4.800522	-0.2763358
170	-2.0254135	4.5670815
171	-1.60861	2.5357225
172	0.34152466	5.8107977
173	-1.262859	3.0450892
174	-3.2909408	0.21360695
175	0.41418195	5.4784145
176	-3.7209992	-0.9923694
177	-0.5905861	3.6855803
178	-0.5772615	4.2909174
179	-4.4563985	-0.0012272894
180	0.3376038	2.6807775
181	1.3046736	4.5461016
182	-4.8743396	-1.4072173
183	-5.0989966	-1.4227434
184	-1.4767135	4.9740496
185	-6.318361	3.3358843
186	-4.110301	2.1222818
187	1.0850705	2.9980562
188	-1.2276961	0.062296182
189	-5.805759	0.8846885
190	-4.207113	0.127586
191	-6.1253366	0.26727486
192	0.5565978	3.3535438
193	4.0776515	7.822238
194	-1.0283041	4.132345
195	4.7209544	3.5318809
196	-3.9514523	0.20162746
197	-6.9174685	-1.525444
198	-6.9128184	1.8661304
199	-0.84950566	2.435888
200	-6.8254604	-1.8072965
201	0.5166639	3.1299732
202	-2.50301	-1.5934598
203	0.74839306	6.633751
204	1.0204657	5.5911655
205	-0.153381	2.4960408
206	-3.601429	-1.7016673
207	-1.6087755	4.052408
208	2.2513971	3.6176229
209	0.74417937	4.9783087
210	-4.035184	-0.15967914
211	-2.1066923	2.1882963
212	-1.4467267	1.5613883
213	3.0920303	6.785978
214	-5.644054	4.498024
215	-5.127625	1.2488511
216	-7.2120614	2.2655025
217	-3.9716525	-0.9486685
218	0.22541054	0.8831147
219	-7.957756	2.5867462
220	4.986275	5.476415
221	2.1884942	3.6787336
222	-1.3376602	1.4187242
223	-9.618927	-2.728186
224	-8.436687	-1.7547197
225	-3.2390518	4.639541
226	-7.4011893	-1.178719
227	-7.9163394	-1.598762
228	-3.0380921	-1.0314538
229	-1.1256249	3.8709776
230	3.735719	6.250309
231	-4.895862	5.2798777
232	-3.7191205	2.3965971
233	-0.017794922	1.0721978
234	-0.30140108	2.0090857
235	-0.4221567	6.018418
236	-2.777899	2.1763484
237	1.3816899	4.167584
238	-2.1500342	5.614899
239	-5.432874	0.4997195
240	-8.1243305	2.4631424
241	-2.2395506	0.8499665
242	1.8146139	3.2947922
243	1.7093829	6.528355
244	-5.4687085	3.7535293
245	-1.684219	0.23323484
246	-2.587026	2.5345294
247	-2.927082	2.9044175
248	-3.8714266	0.59523666
249	-0.9759605	1.113753
250	-2.6930509	3.918247
251	-2.1502016	-1.3243498
252	-0.568023	3.248678
253	2.599028	8.015085
254	-0.12791374	1.179782
255	-1.8201727	4.929496
256	1.600842	3.5820963
257	-2.5121913	4.043532
258	1.4014472	6.715602
259	-4.1966195	3.0011764
260	-6.6690946	0.24582162
261	-2.1494184	2.0235894
262	-0.16414371	6.3319597
263	0.83365595	5.4583883
264	-5.075683	2.3539352
265	-2.8007677	6.4503813
266	-1.5850092	6.400752
267	-4.8156896	2.738656
268	-9.300115	1.9431236
269	-6.0753593	-2.0174353
270	-3.2265782	1.8947816
271	-5.1430535	5.2323265
272	-5.64983	2.4511054
273	-1.2747153	1.2250544
274	0.16086935	2.4056008
275	-0.06681484	0.9887407
276	-4.450028	3.8409817
277	-2.8452315	1.9757074
278	0.23513742	3.2671092
279	-0.6067117	3.8917391
280	1.346327	3.9455845
281	2.5392368	4.959517
282	-2.9554527	1.6088502
283	-5.7238984	2.3999722
284	-3.7054248	3.8808105
285	-3.3876941	1.3346952
286	-4.489718	3.105619
287	-6.130858	-0.49703416
288	-3.5949464	5.6392417
289	-5.28237	0.8578112
290	-3.7140374	1.316773
291	-3.6362026	2.0385056
292	-5.790302	-0.06891078
293	-0.25974596	1.9689057
294	-4.3309007	4.943199
295	-7.296131	1.8405952
296	-4.529495	0.31666356
297	-4.301185	-1.1326437
298	1.7736169	2.7107575
299	2.5668972	3.3151362
300	-5.2640376	4.6267858
301	1.084725	4.5604105
302	1.2551583	2.973985
303	-1.2388111	1.1098384
304	-2.3134847	-1.3771216
305	-9.014587	-0.71976566
306	-1.8203634	-0.014026076
307	-2.7193456	2.901388
308	-7.579022	-2.348871
309	0.5191632	1.9168518
310	-0.44162488	2.2574096
311	-3.1231627	3.0185769
312	-3.0249712	-1.0394424
313	-2.4507914	6.0587635
314	-4.372081	2.978216
315	-4.5303235	4.6647997
316	-0.7555991	1.7106984
317	0.27334082	1.2251456
318	-0.5166022	5.185042
319	0.7871495	4.1349993
320	1.475298	2.4630926
