	log_likelihood
720	24.400316
721	23.762821
722	27.592825
723	27.567724
724	19.657679
725	23.207384
726	22.591354
727	26.332708
728	22.445019
729	18.252354
730	25.286474
731	16.538446
732	27.49992
733	27.556805
734	17.406727
735	6.661187
736	24.57288
737	22.292637
738	27.579163
739	27.707788
740	22.642223
741	21.525257
742	14.538015
743	22.009947
744	25.800568
745	22.090855
746	22.56808
747	23.31981
748	27.389685
749	23.13052
750	27.50675
751	19.328587
752	18.263744
753	24.250032
754	23.483158
755	22.387882
756	22.267574
757	22.2293
758	26.017124
759	10.778311
760	24.5481
761	20.28526
762	19.759844
763	24.367489
764	9.181097
765	24.235582
766	27.18018
767	12.80863
768	19.00834
769	23.315445
770	27.351557
771	23.39401
772	23.846535
773	19.986628
774	25.16853
775	20.577644
776	21.10407
777	18.237732
778	18.98499
779	24.475735
780	21.099989
781	24.459911
782	17.265207
783	17.759897
784	23.409004
785	24.624807
786	23.53514
787	24.172407
788	23.859344
789	21.44681
790	20.569733
791	24.569529
792	22.379757
793	17.793594
794	25.339252
795	22.317575
796	26.75535
797	24.84132
798	17.770853
799	22.906393
800	8.428942
801	24.10876
802	25.015844
803	24.801716
804	27.30228
805	22.973576
806	21.918692
807	18.12562
808	21.037752
809	27.75092
810	25.70753
811	23.583755
812	23.137894
813	27.129007
814	26.152039
815	12.801989
816	16.203419
817	13.551638
818	17.023758
819	21.574524
820	26.281765
821	26.636215
822	12.971896
823	26.650274
824	20.23812
825	27.51083
826	13.956693
827	14.692001
828	22.577051
829	21.660563
830	20.812048
831	22.60831
832	18.578976
833	27.455688
834	26.735077
835	22.824137
836	24.189734
837	20.24697
838	19.938383
839	22.814365
840	23.674656
841	25.346172
842	25.816427
843	10.148403
844	25.3188
845	27.813374
846	22.206066
847	24.891878
848	21.047632
849	26.950558
850	23.091349
851	23.221523
852	15.916972
853	16.626644
854	25.570538
855	18.862349
856	21.87635
857	27.8812
858	20.784225
859	19.0607
860	16.796421
861	21.045975
862	17.50952
863	13.657587
864	21.557096
865	8.5846405
866	25.098314
867	21.112177
868	25.104595
869	15.099276
870	20.590536
871	18.388754
872	23.294682
873	23.803722
874	25.16174
875	22.88596
876	23.1207
877	24.219206
878	23.88032
879	21.030758
880	24.829685
881	27.862371
882	16.555243
883	19.259405
884	21.494633
885	24.96243
886	21.042477
887	18.897255
888	26.271229
889	20.486675
890	25.917994
891	23.980433
892	25.781086
893	24.329628
894	18.059814
895	25.281239
896	17.077091
897	22.196299
898	19.227398
899	25.402472
900	26.351635
901	24.793362
902	16.509907
903	24.470516
904	25.15192
905	20.99368
906	23.67155
907	22.689327
908	23.877827
909	24.027216
910	17.873798
911	25.289642
912	22.651636
913	25.356052
914	23.733896
915	26.344711
916	11.334651
917	27.625906
918	12.450557
919	26.97858
920	17.559357
921	24.939445
922	17.9517
923	27.12151
924	26.537476
925	28.104858
926	26.283085
927	24.019482
928	26.821747
929	22.155455
930	21.15612
931	27.86477
932	22.194357
933	18.517962
934	27.234692
935	24.954308
936	22.627522
937	20.403465
938	27.24094
939	21.433489
940	16.212753
941	19.520807
942	17.485376
943	25.032251
944	21.46934
945	15.346402
946	28.267584
947	19.246246
948	18.2918
949	19.854548
950	17.838291
951	14.472598
952	26.004019
953	24.767456
954	12.922925
955	22.257687
956	19.330593
957	13.171656
958	22.666374
959	25.803295
960	16.773806
961	23.397726
962	24.656094
963	20.554108
964	24.15487
965	26.754633
966	23.38241
967	23.867512
968	22.988934
969	14.908226
970	13.898068
971	24.256973
972	25.523212
973	25.320724
974	24.46752
975	24.694498
976	24.14338
977	26.468403
978	25.480442
979	23.1619
980	24.30296
981	26.461914
982	24.493368
983	19.129076
984	22.410831
985	24.844795
986	23.676035
987	20.980639
988	23.732946
989	22.37041
990	16.302715
991	9.746767
992	12.889717
993	18.088678
994	24.415129
995	20.829872
996	27.76209
997	26.758322
998	24.428127
999	24.595388
1000	31.219868
1001	31.211706
1002	30.66654
1003	32.05755
1004	30.681171
1005	30.558752
1006	31.651485
1007	31.170788
1008	30.718777
1009	32.434563
1010	31.521463
1011	31.500767
1012	31.103449
1013	29.779156
1014	30.075336
1015	32.490227
1016	30.409973
1017	31.15395
1018	30.0708
1019	31.807837
1020	31.356833
1021	31.5492
1022	31.07792
1023	30.843525
1024	30.586185
1025	31.307789
1026	32.098686
1027	31.752483
1028	32.26064
1029	30.351202
1030	32.371063
1031	29.739452
1032	31.907837
1033	32.02724
1034	31.95162
1035	31.536535
1036	30.174442
1037	31.166956
1038	31.013565
1039	31.20177
1040	31.361761
1041	31.17046
1042	31.333988
1043	31.33775
1044	32.023647
1045	31.392914
1046	30.533936
1047	29.497528
1048	30.60242
1049	31.831127
1050	30.304972
1051	30.487621
1052	31.82071
1053	30.692743
1054	30.681896
1055	31.071646
1056	30.214563
1057	32.036858
1058	30.241037
1059	31.084316
1060	30.221395
1061	30.807058
1062	30.55431
1063	30.87407
1064	31.121084
1065	32.070763
1066	29.460598
1067	32.587395
1068	32.515884
1069	31.413746
1070	31.539967
1071	31.269842
1072	32.3875
1073	30.019709
1074	31.759787
1075	30.947763
1076	31.331854
1077	30.374323
1078	30.535507
1079	31.620169
1080	31.34428
1081	31.030003
1082	31.710743
1083	31.189571
1084	31.587473
1085	31.399286
1086	32.284676
1087	31.621002
1088	30.37907
1089	30.75916
1090	31.816235
1091	30.392124
1092	30.334509
1093	30.433813
1094	31.236832
1095	31.485493
1096	32.464985
1097	31.303009
1098	30.29918
1099	31.42475
1100	31.43697
1101	31.006336
1102	30.76388
1103	31.098888
1104	31.12
1105	30.6781
1106	31.645504
1107	30.843014
1108	31.165668
1109	32.006847
1110	30.829544
1111	30.876324
1112	31.73027
1113	30.758404
1114	29.871897
1115	31.5021
1116	32.024
1117	32.33325
1118	31.253595
1119	30.548111
1120	31.808706
1121	32.08622
1122	31.96029
1123	30.321842
1124	31.389385
1125	30.805567
1126	31.993952
1127	29.496632
1128	30.770182
1129	30.83974
1130	32.36704
1131	30.098337
1132	32.123238
1133	31.606426
1134	31.509632
1135	31.628693
1136	30.422832
1137	31.088627
1138	31.441769
1139	31.619808
1140	30.361048
1141	31.686386
1142	31.188547
1143	31.363598
1144	30.451822
1145	31.734375
1146	31.737095
1147	30.873814
1148	31.793198
1149	31.95007
1150	32.09137
1151	31.788548
1152	30.225256
1153	31.132977
1154	30.330612
1155	30.965199
1156	31.094822
1157	31.106339
1158	30.900112
1159	31.701092
1160	30.96963
1161	31.445133
1162	30.601803
1163	31.889002
1164	31.71051
1165	32.138844
1166	30.986506
1167	30.541513
1168	30.791296
1169	31.079502
1170	30.68726
1171	31.723328
1172	32.270245
1173	30.893753
1174	32.29657
1175	30.482666
1176	31.326153
1177	29.712162
1178	31.01713
1179	32.053482
1180	31.661633
1181	31.750803
1182	31.274403
1183	32.362106
1184	30.736408
1185	30.618267
1186	32.32738
1187	31.035543
1188	31.5817
1189	31.268185
1190	31.847157
1191	30.550486
1192	31.622385
1193	30.992771
1194	31.096994
1195	30.94934
1196	31.92207
1197	32.265244
1198	32.17047
1199	30.87382
1200	32.508812
1201	31.897854
1202	31.15067
1203	31.212317
1204	30.830145
1205	32.66636
1206	31.881704
1207	32.486153
1208	32.51847
1209	32.668015
1210	31.803747
1211	32.282448
1212	32.4457
1213	32.578026
1214	32.267845
1215	31.87918
1216	30.846878
1217	31.645863
1218	28.076664
1219	32.486256
1220	32.668243
1221	32.514
1222	32.105312
1223	31.28799
1224	27.801142
1225	31.985723
1226	32.249317
1227	32.59472
1228	31.66036
1229	31.823776
1230	31.423151
1231	32.652126
1232	32.62339
1233	31.374752
1234	29.986206
1235	32.17453
1236	32.34604
1237	31.34309
1238	31.106943
1239	30.438717
1240	32.785187
1241	31.877365
1242	31.429373
1243	31.61503
1244	31.473623
1245	31.125378
1246	31.815578
1247	30.69599
1248	30.714756
1249	32.444496
1250	32.193733
1251	32.478233
1252	31.296545
1253	31.871761
1254	32.45262
1255	30.48819
1256	31.609024
1257	32.016827
1258	31.92385
1259	30.517262
1260	32.48459
1261	31.812952
1262	32.54908
1263	32.3653
1264	32.37441
1265	30.601734
1266	31.391153
1267	32.197426
1268	31.782536
1269	30.85705
1270	32.645042
1271	31.217371
1272	32.604607
1273	32.554993
1274	32.479794
1275	32.039757
1276	32.610992
1277	31.829575
1278	32.461266
1279	32.27274
1280	30.077694
1281	32.471306
1282	32.681747
1283	32.185528
1284	32.05031
1285	29.613415
1286	32.425056
1287	29.524862
1288	30.973104
1289	32.19544
1290	32.621487
1291	32.319958
1292	31.986263
1293	32.557
1294	30.867645
1295	30.820553
1296	32.10997
1297	32.487495
1298	30.614079
1299	32.278767
1300	31.938572
1301	31.981628
1302	29.55741
1303	32.286285
1304	30.85357
1305	31.712006
1306	31.429611
1307	32.30776
1308	32.34157
1309	32.062805
1310	32.74517
1311	32.036274
1312	31.863398
1313	30.898834
1314	30.615887
1315	31.415777
1316	32.1817
1317	32.25288
1318	32.063778
1319	31.82904
1320	32.457653
1321	32.57154
1322	31.296997
1323	32.20886
1324	32.250984
1325	32.598198
1326	32.464615
1327	30.656794
1328	31.678158
1329	32.54461
1330	32.67167
1331	32.473976
1332	32.199436
1333	32.364677
1334	32.263794
1335	32.54833
1336	31.595486
1337	32.022774
1338	31.813293
1339	31.857166
1340	31.172653
1341	31.920584
1342	32.46366
1343	32.123337
1344	32.771557
1345	32.446064
1346	32.226048
1347	32.4864
1348	32.485146
1349	32.085144
1350	32.016506
1351	32.325855
1352	31.630585
1353	31.918766
1354	32.089752
1355	32.492973
1356	32.232754
