	z_coordinate_0	z_coordinate_1
184	-2.8267045	-0.035408244
185	-2.032212	-3.4203303
186	-1.0881068	-2.417626
187	-1.7629619	1.3348188
188	0.33909902	-1.391037
189	-0.5010103	-3.6006608
190	0.04781947	-2.8883204
191	-0.22018662	-3.8439622
192	-1.9361494	1.0321026
193	-3.446556	3.4986045
194	-2.359461	0.06499109
195	-1.8815019	3.4104857
196	0.029854331	-2.756718
197	0.5122237	-4.321327
198	-1.1954364	-4.0821624
199	-1.285384	-0.3022028
200	0.65368766	-4.25728
201	-1.8043653	0.9434602
202	1.0444734	-2.2410948
203	-3.4658802	1.4724784
204	-2.9818199	1.620703
205	-1.3583256	0.21409792
206	0.9597647	-2.7539027
207	-2.3059824	-0.33659935
208	-2.0606487	2.211931
209	-2.7374914	1.4075239
210	0.19941261	-2.8443153
211	-1.1202254	-1.2209077
212	-0.7065804	-1.0064864
213	-3.1871154	2.904846
214	-2.7356627	-2.7058494
215	-0.6236194	-3.1790664
216	-1.4753036	-4.198737
217	0.5794871	-2.8903167
218	-0.32037452	-0.1931569
219	-1.8114154	-4.6232104
220	-2.5733185	3.74788
221	-2.0865488	2.184994
222	-0.6140127	-0.98690957
223	0.40426436	-6.026019
224	0.30441442	-5.2376385
225	-2.6900332	-1.178426
226	0.26635602	-4.610852
227	0.3539116	-4.9096813
228	0.7171762	-2.463328
229	-2.202929	-0.06989014
230	-2.9053452	3.234327
231	-3.1735232	-2.0620465
232	-1.2609932	-2.1074429
233	-0.4396054	-0.26091462
234	-1.0475566	-0.06459527
235	-3.2977674	0.7623876
236	-1.1137445	-1.6319969
237	-2.3249977	1.757045
238	-3.1955996	-0.35092795
239	-0.2537392	-3.4498708
240	-1.7768393	-4.749974
241	-0.24194655	-1.7321749
242	-1.932358	1.8970861
243	-3.2969365	2.0550537
244	-2.245677	-2.768933
245	0.18509349	-1.5932271
246	-1.3496749	-1.3979402
247	-1.5909501	-1.4756176
248	-0.16751775	-2.6530843
249	-0.4076112	-0.87214625
250	-2.2334669	-1.0256517
251	0.96888983	-2.065614
252	-1.8276844	0.14177193
253	-3.779628	2.5779839
254	-0.50927055	-0.2815342
255	-2.8106363	-0.2618385
256	-2.0573657	1.814992
257	-2.3043554	-0.8860927
258	-3.4214582	1.8603284
259	-1.677393	-2.1982322
260	-0.28985766	-4.148225
261	-1.010929	-1.3022556
262	-3.4212172	0.9324506
263	-2.9427032	1.4972379
264	-1.2791779	-2.9104955
265	-3.6861498	-0.6331933
266	-3.5682757	0.09168434
267	-1.5209495	-2.648608
268	-1.7625067	-5.6357913
269	0.843407	-3.8664036
270	-0.92721885	-1.9872072
271	-3.1596134	-2.2315552
272	-1.3831025	-3.2249582
273	-0.48280218	-1.0188556
274	-1.3291254	0.4149686
275	-0.3684031	-0.33626932
276	-2.2427166	-2.1149476
277	-0.9798204	-1.7394629
278	-1.8752111	0.7595241
279	-2.2250986	0.29670554
280	-2.2273886	1.7057576
281	-2.560892	2.5172732
282	-0.7390331	-1.9206054
283	-1.3574233	-3.2806294
284	-2.2375166	-1.6508381
285	-0.5747449	-2.238738
286	-1.7593086	-2.3436139
287	0.15630457	-3.8977005
288	-3.3046908	-1.2048328
289	-0.42549047	-3.3237796
290	-0.5739667	-2.41703
291	-1.0241373	-2.1744094
292	-0.0078099035	-3.6932344
293	-1.0258591	-0.049950197
294	-2.930739	-1.7747664
295	-1.2462742	-4.3173327
296	-0.07192692	-3.017882
297	0.63315403	-3.0522544
298	-1.6721543	1.7301521
299	-1.9351703	2.34011
300	-2.7894318	-2.4330866
301	-2.5233142	1.5969431
302	-1.7621802	1.4494116
303	-0.40186763	-1.0403204
304	0.9721311	-2.1414986
305	-0.33290473	-5.648759
306	0.32459223	-1.7234426
307	-1.587841	-1.3542836
308	0.76933503	-4.637786
309	-1.0785141	0.48955902
310	-1.1913462	-0.074203506
311	-1.6671271	-1.5550201
312	0.7224056	-2.4578474
313	-3.45139	-0.4690171
314	-1.6679255	-2.310004
315	-2.768422	-1.9610825
316	-0.8283794	-0.4923535
317	-0.587795	0.0057685673
318	-2.9080188	0.6172589
319	-2.3435965	1.347894
320	-1.5310061	1.4448695
321	-0.3136672	-1.1392865
322	-0.79064965	-0.7355105
323	-1.1296577	0.65239245
324	-1.321949	-0.83740234
325	-0.64248496	-5.518665
326	-1.9803436	2.6324
327	-1.1055579	-1.106575
328	-2.0103528	-0.34961584
329	0.16616061	-1.6428211
330	0.3080673	-3.2706666
331	-2.201309	-0.653801
332	-3.2150671	-1.400115
333	-1.1648066	0.62988716
334	-2.8750012	1.7753346
335	-0.17457631	-3.4468973
336	-0.3449023	-4.3177342
337	-2.109817	-1.3682415
338	-1.2238984	-2.9029524
339	0.41618118	-2.9231448
340	-2.4702613	2.909157
341	-1.1480364	-4.5376096
342	-1.7059786	-1.1810701
343	-1.1287729	-3.4404066
344	-2.3684108	1.9660642
345	-1.7290747	0.08106117
346	-0.8787323	-2.7387645
347	-1.2622747	0.76592046
348	-3.5785277	0.7636934
349	-3.0556846	0.1840617
350	-1.7043123	0.6797171
351	-2.6653879	0.2147107
352	-0.50889266	-5.0017295
353	-1.6409234	-0.99260753
354	-0.90244675	-1.2457707
355	-2.099392	-0.5047038
356	0.7533086	-4.9580975
357	-2.5234215	0.6878105
358	-0.796294	-0.08931522
359	-3.171363	1.5253439
360	-1.3630635	-2.1553476
361	-0.31468368	-1.3682919
362	-2.29352	-0.607098
363	-2.231292	-1.2341862
364	0.43539658	-5.475713
365	-1.0028431	-0.20766339
366	-0.6973832	-2.5457735
367	0.29727918	-1.5939672
368	0.2398791	-1.5454154
369	-1.0835149	-1.4964771
370	0.8912365	-3.0699875
371	-1.2320186	-1.546967
372	-2.5640628	1.8730435
373	-2.140308	-1.8878641
374	-2.663761	1.8115637
375	-2.869043	1.0018303
376	-0.895865	-1.2844892
377	-1.5735672	0.39606836
378	-2.5286453	1.4783287
379	-1.0948582	-1.7773771
380	-2.841174	0.71056896
381	-2.1699173	2.9346833
382	-2.8673964	3.0180445
383	0.34483775	-4.1143
384	-2.082372	-2.2160175
385	1.2054226	-4.619636
386	-0.9021492	0.23857184
387	-1.927545	-0.23860893
388	-0.70813805	-4.1691504
389	-2.9983184	3.1664517
390	-2.1447523	1.4737275
391	-3.3315196	-1.7503452
392	-0.7280399	-0.06621027
393	-2.5226083	1.0748305
394	0.16995716	-0.754479
395	-2.6039588	2.6620958
396	-1.55454	0.95366865
397	-1.620467	-0.8235095
398	0.28839633	-1.7167177
399	-0.6740092	-4.051413
400	0.12503436	-5.441882
401	0.034186248	-0.9280351
402	0.07145998	-3.6080685
403	-1.9308963	0.8637738
404	-0.5972078	-0.20552728
405	-1.3707902	1.0019886
406	-3.328154	-0.9476692
407	-2.0751133	2.4076974
408	0.2943037	-3.7750716
409	0.43881056	-3.1530857
410	-2.8988578	-2.5281017
411	-0.8492818	-2.1036646
412	-3.2757192	0.3862266
413	-1.1422187	-4.1635585
414	-1.5742865	0.48455465
415	-1.4586645	-1.9837315
416	-3.3677351	1.5329654
417	-0.35618314	-1.9529567
418	0.51101804	-1.7222567
419	-2.6628916	1.987071
420	-2.1969643	-2.1824586
421	-2.4280677	2.3032737
422	-2.8577077	3.4667518
423	-0.0664489	-2.1611366
424	-2.5687802	-0.858871
425	-2.5603473	-2.5097623
426	-0.399838	-4.255553
427	-0.41094783	-1.4630802
428	-0.60894305	-3.3966389
429	0.6087953	-1.6902146
430	-0.6360426	-1.5806525
