	log_likelihood
629	284.1031
630	309.76672
631	284.18466
632	311.61578
633	319.1209
634	309.90128
635	186.11783
636	279.5974
637	297.54727
638	316.3604
639	292.06085
640	243.9266
641	210.82727
642	311.53497
643	325.2448
644	237.93083
645	312.35883
646	320.03177
647	324.26324
648	215.8947
649	321.5256
650	268.30286
651	342.7714
652	232.40361
653	314.2813
654	211.2852
655	333.45245
656	255.7668
657	299.42468
658	328.1354
659	303.8638
660	320.89587
661	319.73984
662	291.0019
663	156.99098
664	305.6493
665	310.06964
666	314.0249
667	325.28516
668	266.54263
669	226.02774
670	311.22372
671	257.81747
672	297.94766
673	319.63974
674	291.13416
675	294.08572
676	292.19763
677	321.93735
678	314.9212
679	322.1977
680	283.7176
681	328.77606
682	220.08789
683	303.9157
684	306.00714
685	197.2438
686	309.26294
687	302.24216
688	282.7895
689	251.36629
690	258.75348
691	257.9776
692	262.49936
693	279.5232
694	262.50555
695	295.85254
696	283.90787
697	314.14505
698	309.15555
699	297.60858
700	282.9628
701	297.30728
702	292.1208
703	307.13058
704	328.28067
705	313.5828
706	280.01172
707	287.64044
708	247.98361
709	307.85123
710	323.36975
711	294.23877
712	310.68265
713	333.76358
714	307.65347
715	289.11377
716	290.8974
717	310.14114
718	285.6044
719	316.0922
720	315.68774
721	321.4168
722	313.85513
723	262.0844
724	184.32332
725	242.78345
726	327.30975
727	273.92194
728	316.9171
729	325.9742
730	329.05515
731	229.1611
732	321.63156
733	325.65356
734	228.73796
735	260.17535
736	296.22644
737	279.99973
738	295.12628
739	326.8998
740	288.0567
741	265.9719
742	285.01657
743	303.78802
744	315.9186
745	289.68506
746	277.48053
747	326.11658
748	331.33392
749	325.99487
750	307.38516
751	243.80563
752	332.67957
753	247.86421
754	306.87177
755	249.12674
756	321.41776
757	305.23004
758	301.81323
759	340.8144
760	295.28806
761	309.998
762	326.23206
763	274.61237
764	291.19238
765	296.6505
766	249.55063
767	214.344
768	316.157
769	293.15903
770	316.59787
771	240.08261
772	264.40176
773	293.11795
774	328.5871
775	307.57562
776	189.2413
777	288.3266
778	219.62251
779	299.24655
780	324.19733
781	301.0593
782	313.038
783	318.04868
784	257.96918
785	202.2635
786	273.44556
787	330.53888
788	271.91965
789	324.08066
790	288.1717
791	283.93692
792	291.17905
793	271.81464
794	280.54056
795	273.3908
796	272.86578
797	286.93375
798	273.81876
799	312.88013
800	317.40704
801	312.2636
802	265.0805
803	290.20135
804	301.4467
805	276.71637
806	295.85675
807	292.80444
808	313.8333
809	290.42987
810	305.59296
811	314.86243
812	147.32901
813	289.17197
814	314.469
815	314.9048
816	299.80826
817	273.428
818	283.31165
819	178.436
820	292.15704
821	318.32114
822	321.38834
823	298.3745
824	264.81403
825	283.18652
826	304.0895
827	276.25375
