	z_coordinate_0	z_coordinate_1
174	-0.20371267	-3.4690616
175	-6.1818795	-10.856886
176	2.8282008	-4.2501345
177	-6.323852	-11.486288
178	0.10538867	11.2495365
179	-4.3487444	-10.394559
180	-6.0684867	-11.32733
181	-5.839668	-11.12887
182	4.2921233	3.957438
183	1.4381512	-2.9491158
184	11.294478	8.396292
185	-4.065433	1.7747285
186	3.105047	-2.6051168
187	-6.420902	8.863153
188	-6.688375	8.851293
189	-7.430721	-3.9087157
190	-3.9758906	1.5603677
191	3.8472881	4.0002704
192	-9.556519	-0.48257217
193	1.0838609	1.9574953
194	-7.2650137	-3.6035626
195	1.8407947	-2.1553025
196	0.29066956	4.572465
197	0.61436415	-2.3936095
198	-6.5261407	9.031752
199	-0.06944209	-2.144307
200	-1.8165846	4.498936
201	3.5451572	-2.5291739
202	3.655252	3.7951176
203	-9.479114	-0.007976808
204	-8.878649	-1.1401831
205	5.3134804	-3.4828506
206	-6.892644	8.530819
207	-5.9147205	-8.36303
208	-9.663108	-0.8727961
209	-11.219388	8.979687
210	3.7409189	4.081688
211	-9.419475	-0.5225197
212	-2.0834398	4.359859
213	-2.6171439	2.8698654
214	20.2111	-5.2012925
215	3.8135798	3.8734355
216	15.794078	-2.7574081
217	0.37947294	-2.5692613
218	7.4859653	5.392846
219	-7.5653877	-3.4777477
220	2.2688437	1.7178478
221	1.5932056	-1.7334301
222	1.6918652	-1.714139
223	3.5944881	4.017356
224	0.1429202	-1.8157649
225	-6.2233253	-11.940054
226	0.9220859	-2.5447342
227	-1.7847977	4.3405385
228	0.46702123	-2.0023644
229	6.699639	1.4298606
230	0.95570505	-2.3997493
231	1.0278556	-2.795399
232	3.8161654	3.769551
233	-6.5936513	-10.89245
234	-5.244154	8.768707
235	1.5601914	-2.0267768
236	0.7067346	-2.054555
237	13.422009	-2.942571
238	1.3084	-2.0895514
239	-5.8882194	-11.131652
240	5.04067	-11.144208
241	1.9223568	-2.1958046
242	1.1302336	-2.5384512
243	1.2191944	-1.6933546
244	-7.1867304	8.46327
245	7.8080697	5.791144
246	1.8408291	-2.6264405
247	2.0156395	-2.3000546
248	0.4663229	-2.6995869
249	0.7453773	-2.8846421
250	0.75981677	-2.268976
251	0.77501523	-3.0953999
252	-7.480411	9.057806
253	-6.603227	8.486536
254	2.2045197	-3.0841742
255	1.7129054	-2.694404
256	-7.1713657	-3.2589102
257	-6.7841163	-11.635244
258	0.6025679	-2.7421231
259	2.5842595	-2.199181
260	2.16211	-2.820801
261	0.62536454	-2.3847628
262	-1.2025896	4.655377
263	-0.38080165	-1.8749347
264	-9.433985	-0.19015476
265	2.858279	-2.4317927
266	1.6922871	-2.2065933
267	1.8234028	-2.9258528
268	11.895978	1.2773242
269	-5.031353	-11.817301
270	3.1645703	1.6888278
271	-6.187513	-11.549706
272	4.2023354	-2.826962
273	2.1062322	-2.5925324
274	1.7102914	-2.4873748
275	2.23731	-1.8431648
276	0.24115354	-2.9299994
277	8.44583	4.052137
278	-2.1254592	4.4616704
279	2.5932536	-1.7489153
280	1.7348244	-3.4813118
281	0.014180183	-2.0252872
282	-5.0822883	-12.13209
283	0.9365884	-2.192216
284	0.21600842	10.813975
285	0.62312376	-2.3046029
286	0.7561748	-1.872352
287	1.2261225	-1.2981124
288	0.30975062	-2.5362754
289	1.11867	-2.3176932
290	1.6177359	-2.4726624
291	-7.208761	-12.73414
292	0.5264895	-2.3450603
293	-6.0658436	-11.115728
294	1.9755478	-1.8195646
295	1.8827422	-2.2664633
296	-5.926668	-11.30813
297	-1.1516442	-2.244983
298	-7.2630353	-3.478788
299	-2.0790954	4.103701
300	3.7449741	3.9810357
301	-6.901978	8.602826
302	-0.043465286	-2.1708255
303	1.4037879	-2.2873876
304	10.014686	2.373194
305	0.31078497	-2.3192751
306	-5.5922856	-11.84313
307	0.4753864	-2.6943743
308	0.9726443	-2.5584333
309	6.7418056	11.584919
310	0.5788071	-1.3504217
311	-9.4943075	-0.66575444
312	0.7588148	-2.236082
313	-7.3853717	8.756372
314	-0.7706567	-1.6628498
315	12.482945	-9.134453
316	4.7637234	-3.779718
317	1.2010444	-1.6833459
318	-2.1277132	4.0900187
319	0.8511883	-3.2329664
320	-1.2607435	-14.370634
